,Mission,Spacecraft,Launch date,Carrier rocket,Operator,Mission type,Outcome
302,Danuri (Korea Pathfinder Lunar Orbiter),Danuri,4 August 2022[90],Falcon 9,KARI,Orbiter[91][92],Operational
303,Danuri (Korea Pathfinder Lunar Orbiter),"Lunar Orbiter by the Korea Aerospace Research Institute (KARI) of South Korea. The orbiter, its science payload and ground control infrastructure are technology demonstrators. The orbiter will also be tasked with surveying lunar resources such as water ice, uranium, helium-3, silicon, and aluminium, and produce a topographic map to help select future lunar landing sites.","Lunar Orbiter by the Korea Aerospace Research Institute (KARI) of South Korea. The orbiter, its science payload and ground control infrastructure are technology demonstrators. The orbiter will also be tasked with surveying lunar resources such as water ice, uranium, helium-3, silicon, and aluminium, and produce a topographic map to help select future lunar landing sites.","Lunar Orbiter by the Korea Aerospace Research Institute (KARI) of South Korea. The orbiter, its science payload and ground control infrastructure are technology demonstrators. The orbiter will also be tasked with surveying lunar resources such as water ice, uranium, helium-3, silicon, and aluminium, and produce a topographic map to help select future lunar landing sites.","Lunar Orbiter by the Korea Aerospace Research Institute (KARI) of South Korea. The orbiter, its science payload and ground control infrastructure are technology demonstrators. The orbiter will also be tasked with surveying lunar resources such as water ice, uranium, helium-3, silicon, and aluminium, and produce a topographic map to help select future lunar landing sites.","Lunar Orbiter by the Korea Aerospace Research Institute (KARI) of South Korea. The orbiter, its science payload and ground control infrastructure are technology demonstrators. The orbiter will also be tasked with surveying lunar resources such as water ice, uranium, helium-3, silicon, and aluminium, and produce a topographic map to help select future lunar landing sites.","Lunar Orbiter by the Korea Aerospace Research Institute (KARI) of South Korea. The orbiter, its science payload and ground control infrastructure are technology demonstrators. The orbiter will also be tasked with surveying lunar resources such as water ice, uranium, helium-3, silicon, and aluminium, and produce a topographic map to help select future lunar landing sites."
304,Artemis 1,Artemis 1 Orion MPCV CM-002,16 November 2022[93],SLS Block 1,NASA,Orbiter,
305,Artemis 1,Uncrewed test of Orion spacecraft in lunar flyby and lunar Distant retrograde orbit.,Uncrewed test of Orion spacecraft in lunar flyby and lunar Distant retrograde orbit.,Uncrewed test of Orion spacecraft in lunar flyby and lunar Distant retrograde orbit.,Uncrewed test of Orion spacecraft in lunar flyby and lunar Distant retrograde orbit.,Uncrewed test of Orion spacecraft in lunar flyby and lunar Distant retrograde orbit.,Uncrewed test of Orion spacecraft in lunar flyby and lunar Distant retrograde orbit.
306,LunaH-Map and Lunar IceCube,LunaH-Map,16 November 2022,SLS Block 1,NASA,Orbiter,
307,LunaH-Map and Lunar IceCube,Lunar IceCube,16 November 2022,SLS Block 1,NASA,Orbiter,
308,LunaH-Map and Lunar IceCube,"H-Map was designed to search for evidence of lunar water ice inside permanently shadowed craters using its neutron detector, while IceCube was intended to use its infrared spectrometer to detect water and organic compounds in the lunar surface and exosphere.","H-Map was designed to search for evidence of lunar water ice inside permanently shadowed craters using its neutron detector, while IceCube was intended to use its infrared spectrometer to detect water and organic compounds in the lunar surface and exosphere.","H-Map was designed to search for evidence of lunar water ice inside permanently shadowed craters using its neutron detector, while IceCube was intended to use its infrared spectrometer to detect water and organic compounds in the lunar surface and exosphere.","H-Map was designed to search for evidence of lunar water ice inside permanently shadowed craters using its neutron detector, while IceCube was intended to use its infrared spectrometer to detect water and organic compounds in the lunar surface and exosphere.","H-Map was designed to search for evidence of lunar water ice inside permanently shadowed craters using its neutron detector, while IceCube was intended to use its infrared spectrometer to detect water and organic compounds in the lunar surface and exosphere.","H-Map was designed to search for evidence of lunar water ice inside permanently shadowed craters using its neutron detector, while IceCube was intended to use its infrared spectrometer to detect water and organic compounds in the lunar surface and exosphere."
309,ArgoMoon,ArgoMoon,16 November 2022,SLS Block 1,ASI,Flybys,Operational
310,ArgoMoon,It is designed to image the Interim Cryogenic Propulsion Stage and will collect telemetry validating the nanotechnology on board the platform in the hostile environment of deep space.,It is designed to image the Interim Cryogenic Propulsion Stage and will collect telemetry validating the nanotechnology on board the platform in the hostile environment of deep space.,It is designed to image the Interim Cryogenic Propulsion Stage and will collect telemetry validating the nanotechnology on board the platform in the hostile environment of deep space.,It is designed to image the Interim Cryogenic Propulsion Stage and will collect telemetry validating the nanotechnology on board the platform in the hostile environment of deep space.,It is designed to image the Interim Cryogenic Propulsion Stage and will collect telemetry validating the nanotechnology on board the platform in the hostile environment of deep space.,It is designed to image the Interim Cryogenic Propulsion Stage and will collect telemetry validating the nanotechnology on board the platform in the hostile environment of deep space.
311,LunIR,LunIR,16 November 2022,SLS Block 1,Lockheed Martin,Flyby,
312,LunIR,It is to flyby the Moon and collect its surface thermography.,It is to flyby the Moon and collect its surface thermography.,It is to flyby the Moon and collect its surface thermography.,It is to flyby the Moon and collect its surface thermography.,It is to flyby the Moon and collect its surface thermography.,It is to flyby the Moon and collect its surface thermography.
313,Near-Earth Asteroid Scout,Near-Earth Asteroid Scout,16 November 2022,SLS Block 1,NASA,Flyby,
314,Near-Earth Asteroid Scout,It is a solar sail that will flyby a near-Earth asteroid.,It is a solar sail that will flyby a near-Earth asteroid.,It is a solar sail that will flyby a near-Earth asteroid.,It is a solar sail that will flyby a near-Earth asteroid.,It is a solar sail that will flyby a near-Earth asteroid.,It is a solar sail that will flyby a near-Earth asteroid.
315,EQUULEUS,EQUULEUS,16 November 2022,SLS Block 1,JAXA,Flybys,Operational
316,EQUULEUS,"It will image the Earth's plasmasphere, impact craters on the Moon's far side, and small trajectory maneuvers near the Moon.","It will image the Earth's plasmasphere, impact craters on the Moon's far side, and small trajectory maneuvers near the Moon.","It will image the Earth's plasmasphere, impact craters on the Moon's far side, and small trajectory maneuvers near the Moon.","It will image the Earth's plasmasphere, impact craters on the Moon's far side, and small trajectory maneuvers near the Moon.","It will image the Earth's plasmasphere, impact craters on the Moon's far side, and small trajectory maneuvers near the Moon.","It will image the Earth's plasmasphere, impact craters on the Moon's far side, and small trajectory maneuvers near the Moon."
317,OMOTENASHI,OMOTENASHI,16 November 2022,SLS Block 1,JAXA,Impactor,
318,OMOTENASHI,It was a lunar surface probe attempting to semi-hard land using solid rocket motors. Carrier and solid motor was to impact. Communication failure occurred and the probe missed and flew by the Moon.,It was a lunar surface probe attempting to semi-hard land using solid rocket motors. Carrier and solid motor was to impact. Communication failure occurred and the probe missed and flew by the Moon.,It was a lunar surface probe attempting to semi-hard land using solid rocket motors. Carrier and solid motor was to impact. Communication failure occurred and the probe missed and flew by the Moon.,It was a lunar surface probe attempting to semi-hard land using solid rocket motors. Carrier and solid motor was to impact. Communication failure occurred and the probe missed and flew by the Moon.,It was a lunar surface probe attempting to semi-hard land using solid rocket motors. Carrier and solid motor was to impact. Communication failure occurred and the probe missed and flew by the Moon.,It was a lunar surface probe attempting to semi-hard land using solid rocket motors. Carrier and solid motor was to impact. Communication failure occurred and the probe missed and flew by the Moon.
319,BioSentinel,BioSentinel,16 November 2022,SLS Block 1,NASA,Flyby,
320,BioSentinel,"CubeSat spacecraft on an astrobiology mission that will use budding yeast to detect, measure, and compare the impact of deep space radiation on DNA repair over long time beyond low Earth orbit.","CubeSat spacecraft on an astrobiology mission that will use budding yeast to detect, measure, and compare the impact of deep space radiation on DNA repair over long time beyond low Earth orbit.","CubeSat spacecraft on an astrobiology mission that will use budding yeast to detect, measure, and compare the impact of deep space radiation on DNA repair over long time beyond low Earth orbit.","CubeSat spacecraft on an astrobiology mission that will use budding yeast to detect, measure, and compare the impact of deep space radiation on DNA repair over long time beyond low Earth orbit.","CubeSat spacecraft on an astrobiology mission that will use budding yeast to detect, measure, and compare the impact of deep space radiation on DNA repair over long time beyond low Earth orbit.","CubeSat spacecraft on an astrobiology mission that will use budding yeast to detect, measure, and compare the impact of deep space radiation on DNA repair over long time beyond low Earth orbit."
321,CubeSat for Solar Particles,CubeSat for Solar Particles,16 November 2022,SLS Block 1,NASA,Flyby,
322,CubeSat for Solar Particles,CubeSat to orbit the Sun to study the dynamic particles and magnetic fields.,CubeSat to orbit the Sun to study the dynamic particles and magnetic fields.,CubeSat to orbit the Sun to study the dynamic particles and magnetic fields.,CubeSat to orbit the Sun to study the dynamic particles and magnetic fields.,CubeSat to orbit the Sun to study the dynamic particles and magnetic fields.,CubeSat to orbit the Sun to study the dynamic particles and magnetic fields.
323,Team Miles,Team Miles,16 November 2022,SLS Block 1,Fluid & Reason,Flyby,
324,Team Miles,CubeSat that will demonstrate navigation in deep space using innovative plasma thrusters.,CubeSat that will demonstrate navigation in deep space using innovative plasma thrusters.,CubeSat that will demonstrate navigation in deep space using innovative plasma thrusters.,CubeSat that will demonstrate navigation in deep space using innovative plasma thrusters.,CubeSat that will demonstrate navigation in deep space using innovative plasma thrusters.,CubeSat that will demonstrate navigation in deep space using innovative plasma thrusters.
325,Hakuto-R Mission 1,Hakuto-R,11 December 2022,Falcon 9 Block 5,ispace,Lander,
326,Hakuto-R Mission 1,SORA-Q,11 December 2022,Falcon 9 Block 5,Tomy/JAXA/Dodai,Rover,
327,Hakuto-R Mission 1,Lunar lander technology demonstration.[94] Contact lost during final stage of landing and deemed a failure. Cause of failure determined to be a software bug associated with the altitude estimation system.[95],Lunar lander technology demonstration.[94] Contact lost during final stage of landing and deemed a failure. Cause of failure determined to be a software bug associated with the altitude estimation system.[95],Lunar lander technology demonstration.[94] Contact lost during final stage of landing and deemed a failure. Cause of failure determined to be a software bug associated with the altitude estimation system.[95],Lunar lander technology demonstration.[94] Contact lost during final stage of landing and deemed a failure. Cause of failure determined to be a software bug associated with the altitude estimation system.[95],Lunar lander technology demonstration.[94] Contact lost during final stage of landing and deemed a failure. Cause of failure determined to be a software bug associated with the altitude estimation system.[95],Lunar lander technology demonstration.[94] Contact lost during final stage of landing and deemed a failure. Cause of failure determined to be a software bug associated with the altitude estimation system.[95]
328,Emirates Lunar Mission,Rashid,11 December 2022,Falcon 9 Block 5,UAESA/MBRSC,Rover,
329,Emirates Lunar Mission,Lunar rover demonstration. Launched aboard ispace's Hakuto-R lander.[96] Lost with Hakuto-R. The impact made the United Arab Emirates the 9th country to reach the surface of the Moon.,Lunar rover demonstration. Launched aboard ispace's Hakuto-R lander.[96] Lost with Hakuto-R. The impact made the United Arab Emirates the 9th country to reach the surface of the Moon.,Lunar rover demonstration. Launched aboard ispace's Hakuto-R lander.[96] Lost with Hakuto-R. The impact made the United Arab Emirates the 9th country to reach the surface of the Moon.,Lunar rover demonstration. Launched aboard ispace's Hakuto-R lander.[96] Lost with Hakuto-R. The impact made the United Arab Emirates the 9th country to reach the surface of the Moon.,Lunar rover demonstration. Launched aboard ispace's Hakuto-R lander.[96] Lost with Hakuto-R. The impact made the United Arab Emirates the 9th country to reach the surface of the Moon.,Lunar rover demonstration. Launched aboard ispace's Hakuto-R lander.[96] Lost with Hakuto-R. The impact made the United Arab Emirates the 9th country to reach the surface of the Moon.
330,Lunar Flashlight,Lunar Flashlight,11 December 2022,Falcon 9 Block 5,NASA,Flyby,
331,Lunar Flashlight,"Initially scheduled to be launched on the Artemis 1 mission, moved to a Falcon 9 Block 5 after not making it for the payload integration deadline. NASA announced later that it would not make its planned orbit or monthly flybys due to thruster issues.[97][2]","Initially scheduled to be launched on the Artemis 1 mission, moved to a Falcon 9 Block 5 after not making it for the payload integration deadline. NASA announced later that it would not make its planned orbit or monthly flybys due to thruster issues.[97][2]","Initially scheduled to be launched on the Artemis 1 mission, moved to a Falcon 9 Block 5 after not making it for the payload integration deadline. NASA announced later that it would not make its planned orbit or monthly flybys due to thruster issues.[97][2]","Initially scheduled to be launched on the Artemis 1 mission, moved to a Falcon 9 Block 5 after not making it for the payload integration deadline. NASA announced later that it would not make its planned orbit or monthly flybys due to thruster issues.[97][2]","Initially scheduled to be launched on the Artemis 1 mission, moved to a Falcon 9 Block 5 after not making it for the payload integration deadline. NASA announced later that it would not make its planned orbit or monthly flybys due to thruster issues.[97][2]","Initially scheduled to be launched on the Artemis 1 mission, moved to a Falcon 9 Block 5 after not making it for the payload integration deadline. NASA announced later that it would not make its planned orbit or monthly flybys due to thruster issues.[97][2]"
332,Jupiter Icy Moons Explorer,Jupiter Icy Moons Explorer,14 April 2023,Ariane 5 ECA,ESA,Flyby,En route
333,Jupiter Icy Moons Explorer,Will fly by the Moon in August 2024 en route to Ganymede.,Will fly by the Moon in August 2024 en route to Ganymede.,Will fly by the Moon in August 2024 en route to Ganymede.,Will fly by the Moon in August 2024 en route to Ganymede.,Will fly by the Moon in August 2024 en route to Ganymede.,Will fly by the Moon in August 2024 en route to Ganymede.
334,Chandrayaan-3,Chandrayaan-3,14 July 2023,LVM3 M4,ISRO,Orbiter,Operational
335,Chandrayaan-3,Vikram,14 July 2023,LVM3 M4,ISRO,Lander,Operational
336,Chandrayaan-3,Pragyan rover,14 July 2023,LVM3 M4,ISRO,Rover,Operational
337,Chandrayaan-3,"Launched on 14 July 2023, Orbit insertion on 5 August 2023, Lander separated from propulsion module on 17 August 2023, landed on 23 August 2023.18:02 IST, (12:32 UTC) and deployed the Pragyan rover. First spacecraft to soft land near the lunar South Pole.","Launched on 14 July 2023, Orbit insertion on 5 August 2023, Lander separated from propulsion module on 17 August 2023, landed on 23 August 2023.18:02 IST, (12:32 UTC) and deployed the Pragyan rover. First spacecraft to soft land near the lunar South Pole.","Launched on 14 July 2023, Orbit insertion on 5 August 2023, Lander separated from propulsion module on 17 August 2023, landed on 23 August 2023.18:02 IST, (12:32 UTC) and deployed the Pragyan rover. First spacecraft to soft land near the lunar South Pole.","Launched on 14 July 2023, Orbit insertion on 5 August 2023, Lander separated from propulsion module on 17 August 2023, landed on 23 August 2023.18:02 IST, (12:32 UTC) and deployed the Pragyan rover. First spacecraft to soft land near the lunar South Pole.","Launched on 14 July 2023, Orbit insertion on 5 August 2023, Lander separated from propulsion module on 17 August 2023, landed on 23 August 2023.18:02 IST, (12:32 UTC) and deployed the Pragyan rover. First spacecraft to soft land near the lunar South Pole.","Launched on 14 July 2023, Orbit insertion on 5 August 2023, Lander separated from propulsion module on 17 August 2023, landed on 23 August 2023.18:02 IST, (12:32 UTC) and deployed the Pragyan rover. First spacecraft to soft land near the lunar South Pole."
338,Luna 25,Luna 25,10 August 2023,Soyuz-2.1b/Fregat,Roscosmos,Lander,
339,Luna 25,"Launched on 10 August 2023, Orbital insertion on 16 August 2023, failed orbital maneuver on 19 August 2023 set the spacecraft on the crash course with the Moon's surface. Loss of communication was confirmed by Roscosmos on 20 August 2023.The impact made Russia the 10th country to reach lunar surface.","Launched on 10 August 2023, Orbital insertion on 16 August 2023, failed orbital maneuver on 19 August 2023 set the spacecraft on the crash course with the Moon's surface. Loss of communication was confirmed by Roscosmos on 20 August 2023.The impact made Russia the 10th country to reach lunar surface.","Launched on 10 August 2023, Orbital insertion on 16 August 2023, failed orbital maneuver on 19 August 2023 set the spacecraft on the crash course with the Moon's surface. Loss of communication was confirmed by Roscosmos on 20 August 2023.The impact made Russia the 10th country to reach lunar surface.","Launched on 10 August 2023, Orbital insertion on 16 August 2023, failed orbital maneuver on 19 August 2023 set the spacecraft on the crash course with the Moon's surface. Loss of communication was confirmed by Roscosmos on 20 August 2023.The impact made Russia the 10th country to reach lunar surface.","Launched on 10 August 2023, Orbital insertion on 16 August 2023, failed orbital maneuver on 19 August 2023 set the spacecraft on the crash course with the Moon's surface. Loss of communication was confirmed by Roscosmos on 20 August 2023.The impact made Russia the 10th country to reach lunar surface.","Launched on 10 August 2023, Orbital insertion on 16 August 2023, failed orbital maneuver on 19 August 2023 set the spacecraft on the crash course with the Moon's surface. Loss of communication was confirmed by Roscosmos on 20 August 2023.The impact made Russia the 10th country to reach lunar surface."
